skill_slug,skill_ref_examples,expert_count,expert_ids,downloaded_count,local_paths,by_skill_link
listing-compliance-validator,./skills/listing-compliance-validator,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-compliance-validator,catalog/workbuddy_expert_catalog/skills/by-skill/listing-compliance-validator
listing-copy-suite-writer,./skills/listing-copy-suite-writer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-copy-suite-writer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-copy-suite-writer
listing-core,./skills/listing-core,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-core,catalog/workbuddy_expert_catalog/skills/by-skill/listing-core
listing-description-writer,./skills/listing-description-writer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-description-writer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-description-writer
listing-diff-meter,./skills/listing-diff-meter,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-diff-meter,catalog/workbuddy_expert_catalog/skills/by-skill/listing-diff-meter
listing-keyword-matrix-build,./skills/listing-keyword-matrix-build,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-keyword-matrix-build,catalog/workbuddy_expert_catalog/skills/by-skill/listing-keyword-matrix-build
listing-quality-scorer,./skills/listing-quality-scorer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-quality-scorer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-quality-scorer
listing-search-terms-writer,./skills/listing-search-terms-writer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-search-terms-writer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-search-terms-writer
listing-title-writer,./skills/listing-title-writer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-title-writer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-title-writer
market-researcher,./skills/market-researcher,6,ChinaEcommerceOperationsExpert;DiscoveryCoach;EnterpriseAccountStrategist;GrowthHacker;LivestreamEcommerceCoach;ProposalStrategist,12,sources/workbuddy-experts/plugins/china-ecommerce-operations-expert/skills/market-researcher;sources/workbuddy-experts/plugins/customer-support-expert/skills/market-researcher;sources/workbuddy-experts/plugins/discovery-coach/skills/market-researcher;sources/workbuddy-experts/plugins/enterprise-account-strategist/skills/market-researcher;sources/workbuddy-experts/plugins/feedback-synthesis-analyst/skills/market-researcher;sources/workbuddy-experts/plugins/growth-hacker/skills/market-researcher;sources/workbuddy-experts/plugins/livestream-ecommerce-coach/skills/market-researcher;sources/workbuddy-experts/plugins/proposal-strategist/skills/market-researcher;sources/workbuddy-experts/plugins/supply-chain-strategist/skills/market-researcher;sources/workbuddy-experts/plugins/technical-documentation-engineer/skills/market-researcher;sources/workbuddy-experts/plugins/trend-researcher/skills/market-researcher;sources/workbuddy-experts/plugins/user-experience-researcher/skills/market-researcher,catalog/workbuddy_expert_catalog/skills/by-skill/market-researcher
marketing-content-creation,./skills/marketing-content-creation,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/marketing-content-creation,catalog/workbuddy_expert_catalog/skills/by-skill/marketing-content-creation
marketing-diagnosis-review,./skills/marketing-diagnosis-review,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/marketing-diagnosis-review,catalog/workbuddy_expert_catalog/skills/by-skill/marketing-diagnosis-review
marketing-growth,./skills/marketing-growth,1,MarketingGrowthTeam,1,sources/workbuddy-experts/plugins/marketing-growth-team/skills/marketing-growth,catalog/workbuddy_expert_catalog/skills/by-skill/marketing-growth
marketing-skills,./skills/marketing-skills,3,BaiduSeoExpert;GrowthHacker;LivestreamEcommerceCoach,5,sources/workbuddy-experts/plugins/baidu-seo-expert/skills/marketing-skills;sources/workbuddy-experts/plugins/bilibili-content-strategist/skills/marketing-skills;sources/workbuddy-experts/plugins/growth-hacker/skills/marketing-skills;sources/workbuddy-experts/plugins/livestream-ecommerce-coach/skills/marketing-skills;sources/workbuddy-experts/plugins/xiaohongshu-operations-expert/skills/marketing-skills,catalog/workbuddy_expert_catalog/skills/by-skill/marketing-skills
material-studio,./skills/material-studio,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/material-studio,catalog/workbuddy_expert_catalog/skills/by-skill/material-studio
med-interactive-html,./skills/med-interactive-html,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/med-interactive-html,catalog/workbuddy_expert_catalog/skills/by-skill/med-interactive-html
med-podcast-generator,./skills/med-podcast-generator,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/med-podcast-generator,catalog/workbuddy_expert_catalog/skills/by-skill/med-podcast-generator
minimax-docx,./skills/minimax-docx,4,DiscoveryCoach;GovernmentDigitalPresalesConsultant;PresalesTechnicalConsultant;ProposalStrategist,15,sources/workbuddy-experts/plugins/compliance-auditor/skills/minimax-docx;sources/workbuddy-experts/plugins/content-creator/skills/minimax-docx;sources/workbuddy-experts/plugins/discovery-coach/skills/minimax-docx;sources/workbuddy-experts/plugins/document-generation-expert/skills/minimax-docx;sources/workbuddy-experts/plugins/government-digital-presales-consultant/skills/minimax-docx;sources/workbuddy-experts/plugins/incident-response-commander/skills/minimax-docx;sources/workbuddy-experts/plugins/legal-compliance-reviewer/skills/minimax-docx;sources/workbuddy-experts/plugins/presales-technical-consultant/skills/minimax-docx;sources/workbuddy-experts/plugins/proposal-strategist/skills/minimax-docx;sources/workbuddy-experts/plugins/rapid-prototyping-engineer/skills/minimax-docx;sources/workbuddy-experts/plugins/senior-project-manager/skills/minimax-docx;sources/workbuddy-experts/plugins/technical-documentation-engineer/skills/minimax-docx;sources/workbuddy-experts/plugins/user-experience-researcher/skills/minimax-docx;sources/workbuddy-experts/plugins/visual-storytelling-expert/skills/minimax-docx;sources/workbuddy-experts/plugins/workflow-optimization-expert/skills/minimax-docx,catalog/workbuddy_expert_catalog/skills/by-skill/minimax-docx
model-comparison-cost,./skills/model-comparison-cost,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/model-comparison-cost,catalog/workbuddy_expert_catalog/skills/by-skill/model-comparison-cost
multi-search-engine,./skills/multi-search-engine,2,ChinaEcommerceOperationsExpert;SeoExpert,6,sources/workbuddy-experts/plugins/china-ecommerce-operations-expert/skills/multi-search-engine;sources/workbuddy-experts/plugins/executive-summary-generator/skills/multi-search-engine;sources/workbuddy-experts/plugins/level-designer/skills/multi-search-engine;sources/workbuddy-experts/plugins/mentougou-business-guide/skills/multi-search-engine;sources/workbuddy-experts/plugins/seo-expert/skills/multi-search-engine;sources/workbuddy-experts/plugins/technical-documentation-engineer/skills/multi-search-engine,catalog/workbuddy_expert_catalog/skills/by-skill/multi-search-engine
